A,B,C,ARTICLE NO,E,DESCRIPTION,G,H,COLOUR,J,K,L,M,N,O,P,Q,R,S,YEAR,GROUP,SIZE,W,X,Y,Z,AA,AB,AC,AD,AE,AF,CLOSING STOCK,AH,AI,MRP
,,,1254329JA-2-44,,MEN'S JACKET-T/N-F/S 44,,,BROWN,,,,,,,,,,,AW25,MEN JACKET FS,44,,,,,,,,,,,1,,,5595
,,,52503226-2-28,,BOY'S KURTA-B/N-H/S 28,,,BLACK,,,,,,,,,,,SS25,BOY KURTA HS,28,,,,,,,,,,,1,,,995
